1,Grand Plaza,*****,200,400,New York,123 Park Ave
2,Sea View Resort,****,150,300,Miami,47 Ocean Drive
3,Mountain Lodge,***,100,200,Denver,95 Mountain Rd
4,Urban Hotel,**,50,100,San Francisco,388 Market St
5,Budget Inn,*,30,60,Las Vegas,14 Main St
6,Skyline Modern,*****,180,360,Chicago,88 High St
7,Coastline Breeze,****,130,260,Los Angeles,44 Sunset Blvd
8,Forest Retreat,***,75,150,Portland,331 Forest Ln
9,City Center Flat,**,45,90,Austin,220 Sixth St
10,Travelers Motel,*,25,50,Phoenix,18 Route Rd
